order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,272,3,5.69,0.15
2,1,300,-1,133.29,0.15
3,1,273,1,560.24,0.0
4,2,11,1,216.27,0.0
5,2,239,3,517.8,0.15
6,3,58,1,87.55,0.0
7,3,70,1,402.01,0.0
8,3,65,1,460.75,0.0
9,3,279,2,226.81,0.0
10,3,174,1,864.84,0.0
11,4,106,1,150.04,0.1
12,4,46,1,397.56,0.05
13,5,173,1,587.7,0.1
14,5,13,2,152.16,0.05
15,5,85,2,530.7,0.1
16,6,276,1,341.21,0.0
17,6,14,1,90.93,0.2
18,7,44,1,6.81,0.0
19,8,40,1,171.89,0.1
20,8,22,1,205.71,0.0
21,8,240,1,555.47,0.0
23,8,134,2,541.79,0.0
24,9,194,1,222.76,0.0
25,10,188,1,550.0,0.0
26,10,22,1,205.71,0.0
27,10,209,1,797.01,0.0
28,11,270,1,1160.3575,0.0
29,11,25,3,282.92,0.1
30,11,271,1,756.22,0.0
31,12,91,1,369.86,0.0
32,12,128,1,686.4,0.0
33,12,271,1,756.22,0.0
34,12,34,1,399.8,0.0
35,12,88,1,275.21,0.05
36,13,215,2,501.1,0.0
37,14,129,1,492.47,0.15
38,14,150,3,182.12,0.05
39,14,192,2,697.79,0.1
40,14,207,2,518.71,0.05
41,14,279,1,226.81,0.0
42,15,144,2,299.76,0.0
43,15,272,1,5.69,0.15
44,16,142,1,717.32,0.2
45,16,32,1,338.4,0.0
46,17,182,1,500.91,0.0
47,18,47,1,513.39,0.0
48,18,64,1,29.71,0.05
50,19,40,3,171.89,0.15
51,19,259,1,533.22,0.2
52,19,49,1,850.7,0.0
53,19,283,1,680.49,0.0
54,20,172,2,104.56,0.0
55,20,269,3,603.81,0.0
56,21,62,3,244.7,0.15
57,21,110,1,52.92,0.05
58,21,30,1,477.17,0.05
59,22,204,1,578.66,0.0
60,23,259,1,533.22,0.0
61,23,173,1,587.7,0.0
62,23,151,1,625.19,0.0
63,23,22,2,205.71,0.05
64,23,173,1,587.7,0.15
65,24,10,3,309.24,0.15
66,24,29,1,103.82,0.0
67,25,38,1,364.99,0.05
68,25,90,2,219.22,0.0
69,25,27,2,686.85,0.0
70,26,288,1,515.26,0.0
71,26,269,2,603.81,0.0
72,27,230,2,829.69,0.0
73,27,282,1,280.61,0.0
74,27,109,1,59.23,0.0
75,28,25,1,282.92,0.2
76,28,34,2,399.8,0.0
77,29,294,1,141.94,0.05
78,29,294,2,141.94,0.1
79,30,188,1,550.0,0.05
80,31,257,2,8.4,0.0
81,32,115,1,251.88,0.0
82,32,207,1,518.71,0.2
83,32,12,-1,156.75,0.0
84,32,61,1,512.76,0.0
85,33,117,1,567.69,0.0
86,33,186,1,290.81,0.15
87,33,288,2,515.26,0.1
88,33,2,2,807.37,0.2
89,33,61,-1,512.76,0.15
90,34,184,1,278.4,0.0
91,34,48,2,231.62,0.0
92,35,219,1,211.99,0.1
93,35,98,2,71.96,0.0
94,36,77,1,103.53,0.1
95,36,261,1,429.63,0.15
96,37,264,1,16.2,0.0
97,37,33,-1,217.73,0.0
98,37,199,1,51.0,0.0
99,38,29,1,103.82,0.0
100,38,38,2,364.99,0.0
101,39,211,1,943.9,0.0
102,39,144,1,299.76,0.15
103,39,145,1,61.15,0.0
104,39,72,1,286.08,0.1
105,39,67,1,355.8,0.0
106,40,25,-1,282.92,0.0
107,40,35,2,425.48,0.0
108,40,269,1,603.81,0.0
109,40,102,1,396.98,0.0
110,41,206,1,612.54,0.0
111,41,6,1,531.19,0.2
112,41,53,1,192.38,0.0
113,41,113,2,55.28,0.0
114,42,177,1,156.12,0.0
115,42,280,1,121.8,0.0
116,43,203,1,431.09,0.0
117,44,129,2,492.47,0.0
118,44,73,3,346.78,0.05
119,45,48,2,231.62,0.15
120,45,94,1,514.73,0.0
121,45,215,1,501.1,0.0
122,45,252,2,274.43,0.05
123,46,59,2,287.12,0.0
124,47,231,3,410.59,0.0
125,47,279,1,226.81,0.0
126,48,255,1,249.2,0.0
127,48,76,2,938.11,0.0
128,49,179,1,478.65,0.0
129,50,136,1,974.39,0.0
130,50,90,1,219.22,0.0
131,50,204,3,578.66,0.1
132,50,286,1,47.93,0.1
133,50,221,1,704.75,0.0
134,51,118,1,611.17,0.0
135,51,129,1,492.47,0.0
136,51,173,2,587.7,0.05
137,52,260,1,619.66,0.1
138,52,226,1,211.98,0.15
139,53,96,1,682.77,0.05
140,54,273,1,560.24,0.0
141,54,295,3,139.02,0.0
142,55,20,2,548.49,0.0
143,56,138,2,54.35,0.05
144,56,200,1,533.81,0.05
145,57,278,1,402.71,0.05
146,58,202,1,514.85,0.0
147,58,151,1,625.19,0.0
148,59,114,2,23.97,0.0
149,59,294,3,141.94,0.0
150,59,41,1,376.48,0.15
151,59,173,1,587.7,0.15
152,60,114,2,23.97,0.0
153,60,190,1,707.42,0.1
154,61,251,1,439.11,0.2
155,61,287,1,754.14,0.05
156,61,148,2,304.48,0.0
157,61,62,2,244.7,0.15
158,61,39,3,412.64,0.0
159,62,171,1,14.73,0.0
160,62,187,1,127.57,0.0
161,62,233,1,82.49,0.1
162,62,111,1,227.31,0.0
163,63,230,2,829.69,0.0
164,63,137,3,316.92,0.0
165,63,56,1,186.07,0.1
166,64,63,1,430.39,0.0
167,64,68,2,133.13,0.0
168,65,71,3,362.18,0.0
169,65,220,1,475.38,0.2
170,66,144,1,299.76,0.0
171,66,173,1,587.7,0.2
172,67,187,2,127.57,0.0
173,67,148,1,304.48,0.0
174,68,4,2,17.97,0.0
175,69,122,1,607.34,0.15
176,70,3,1,978.72,0.0
177,71,146,2,443.54,0.0
178,72,226,1,211.98,0.0
179,72,4,1,17.97,0.1
180,73,89,1,247.06,0.1
181,73,69,1,274.11,0.0
182,74,194,1,222.76,0.15
183,75,238,1,192.17,0.0
184,75,207,1,518.71,0.0
185,75,93,2,98.57,0.0
186,76,80,2,166.05,0.15
187,77,53,1,192.38,0.0
188,78,111,1,227.31,0.1
189,79,89,1,247.06,0.2
190,80,300,1,133.29,0.0
191,80,74,1,171.2,0.0
192,80,126,2,240.49,0.1
193,81,238,1,192.17,0.15
194,82,130,1,454.11,0.2
195,83,96,1,682.77,0.0
196,83,170,1,723.66,0.15
197,84,168,1,649.6,0.2
198,84,266,1,110.99,0.0
199,84,51,1,863.34,0.0
200,85,284,1,228.9,0.1
201,86,108,1,378.75,0.05
202,86,264,1,16.2,0.0
203,87,121,3,183.38,0.05
204,87,294,1,141.94,0.0
205,87,84,3,43.2,0.15
206,87,48,1,231.62,0.0
207,87,179,1,478.65,0.0
208,88,3,1,978.72,0.2
209,88,256,1,537.93,0.2
210,88,25,1,282.92,0.05
211,89,72,1,286.08,0.05
212,89,46,1,397.56,0.0
213,89,93,1,98.57,0.05
214,90,128,1,686.4,0.05
215,90,19,1,727.02,0.0
216,90,107,1,963.92,0.05
217,91,47,1,513.39,0.1
218,92,168,-1,649.6,0.0
219,92,66,1,447.18,0.1
220,93,1,2,433.54,0.0
221,93,177,1,156.12,0.05
