product_id,name,category,subcategory,unit_price,cost,in_stock_units
1,Black Camera,Electronics,Cameras,433.54,224.24,270
2,Maintain Laptop,Electronics,Laptops,807.37,351.48,16
3,Start Accessorie,Electronics,Accessories,978.72,367.95,91
4,Movement Headphone,Electronics,Headphones,17.97,12.57,229
5,Yeah Smartphone,Electronics,Smartphones,503.34,180.1,161
6,Important Laptop,Electronics,Laptops,531.19,192.72,229
7,Beyond Accessorie,Electronics,Accessories,357.42,167.06,104
8,Plant Smartphone,Electronics,Smartphones,295.82,122.24,489
9,Right Laptop,Electronics,Laptops,66.57,26.82,5
10,After Laptop,Electronics,Laptops,309.24,235.47,474
11,Change Smartphone,Electronics,Smartphones,216.27,129.85,46
12,Get Smartphone,Electronics,Smartphones,156.75,77.9,238
13,Support Headphone,Electronics,Headphones,152.16,71.45,229
14,Find Headphone,Electronics,Headphones,90.93,61.01,12
15,Sea Headphone,Electronics,Headphones,536.46,192.64,50
16,Yes Smartphone,Electronics,Smartphones,245.66,101.09,229
17,Light Laptop,Electronics,Laptops,953.82,375.23,229
18,Rest Camera,Electronics,Cameras,35.67,20.03,423
19,Improve Smartphone,Electronics,Smartphones,727.02,269.65,23
20,Arm Accessorie,Electronics,Accessories,548.49,335.04,182
21,Right Camera,Electronics,Cameras,614.24,247.11,216
22,Scientist Smartphone,Electronics,Smartphones,205.71,98.81,461
23,Cost Headphone,Electronics,Headphones,235.35,174.8,39
24,Concern Headphone,Electronics,Headphones,696.97,282.68,55
25,Protect Headphone,Electronics,Headphones,282.92,149.7,132
26,Agent Laptop,Electronics,Laptops,259.69,123.49,364
27,Into Laptop,Electronics,Laptops,686.85,342.59,229
28,Series Accessorie,Electronics,Accessories,749.19,279.01,402
29,Pressure Accessorie,Electronics,Accessories,103.82,57.5,251
30,Hospital Laptop,Electronics,Laptops,477.17,214.5,118
31,Wide Laptop,Electronics,Laptops,976.57,373.86,430
32,East Smartphone,Electronics,Smartphones,338.4,127.28,229
33,Forward Accessorie,Electronics,Accessories,217.73,78.93,298
34,Television Laptop,Electronics,Laptops,399.8,208.52,335
35,Wide Camera,Electronics,Cameras,425.48,268.86,358
36,Work Smartphone,Electronics,Smartphones,749.87,321.49,393
37,Executive Laptop,Electronics,Laptops,608.8,285.91,100
38,Say Camera,Electronics,Cameras,364.99,233.95,94
39,Yeah Laptop,Electronics,Laptops,412.64,256.52,428
40,Because Laptop,Electronics,Laptops,171.89,75.68,309
41,Rest Smartphone,Electronics,Smartphones,376.48,158.48,399
42,Cost Camera,Electronics,Cameras,328.75,216.35,180
43,A Laptop,Electronics,Laptops,97.72,52.4,229
44,Walk Camera,Electronics,Cameras,6.81,4.3,196
45,Beautiful Camera,Electronics,Cameras,511.39,183.54,229
46,Reflect Laptop,Electronics,Laptops,397.56,205.91,415
47,Central Camera,Electronics,Cameras,513.39,252.36,348
48,Court Camera,Electronics,Cameras,231.62,156.59,186
49,Left Laptop,Electronics,Laptops,850.7,304.77,229
50,Wear Headphone,Electronics,Headphones,240.1,113.11,278
51,Former Cookware,Home & Kitchen,Cookware,863.34,370.52,332
