customer_id,recency,frequency,monetary,R_score,F_score,M_score,rfm_score,rfm_segment
1,372,3,2286.3675,3,4,3,10,Loyal Customers
2,79,3,3200.8345,5,4,4,13,Champions
3,279,6,5534.097,3,5,5,13,Champions
4,1459,0,0.0,1,1,1,3,Lost Customers
5,72,1,2723.514,5,2,3,10,Loyal Customers
6,1459,0,0.0,1,1,1,3,Lost Customers
7,153,1,1670.3825000000002,4,2,2,8,Potential Loyalists
8,279,2,1667.8355000000001,3,3,2,8,Potential Loyalists
9,88,2,1283.988,5,3,2,10,Loyal Customers
10,79,1,1099.7295,5,2,1,8,Potential Loyalists
11,131,4,3296.6220000000003,5,5,4,14,Champions
12,384,4,3659.6265,3,5,4,12,Champions
13,149,3,3749.9345,4,4,4,12,Champions
14,585,2,5211.834,2,3,5,10,Loyal Customers
15,68,4,4439.5185,5,5,4,14,Champions
16,384,2,970.8525,3,3,1,7,Potential Loyalists
17,661,2,4663.4304999999995,2,3,5,10,Loyal Customers
18,121,5,7106.353,5,5,5,15,Champions
19,401,2,424.56399999999996,3,3,1,7,Potential Loyalists
20,1,3,3488.18,6,4,4,14,Champions
21,93,1,1053.482,5,2,1,8,Potential Loyalists
22,197,2,455.3315,4,3,1,8,Potential Loyalists
23,172,3,1490.579,4,4,2,10,Loyal Customers
24,5,3,5007.221,6,4,5,15,Champions
25,33,2,3351.4269999999997,6,3,4,13,Champions
26,400,2,2098.002,3,3,3,9,Loyal Customers
27,1459,0,0.0,1,1,1,3,Lost Customers
28,116,2,1337.9285,5,3,2,10,Loyal Customers
29,416,5,4160.263,3,5,4,12,Champions
30,52,2,4031.8635,6,3,4,13,Champions
31,615,2,1405.864,2,3,2,7,Potential Loyalists
32,1459,0,0.0,1,1,1,3,Lost Customers
33,59,6,6242.3305,6,5,5,16,Champions
34,315,4,4588.906,3,5,5,13,Champions
35,26,3,1961.15,6,4,2,12,Champions
36,137,5,5758.7235,5,5,5,15,Champions
37,86,3,2349.319,5,4,3,12,Champions
38,206,2,945.4365,4,3,1,8,Potential Loyalists
39,279,1,753.5305000000001,3,2,1,6,At Risk
40,122,1,1338.7055,5,2,2,9,Loyal Customers
41,401,1,976.57,3,2,1,6,At Risk
42,344,3,6440.497,3,4,5,12,Champions
43,612,3,1929.671,2,4,2,8,Potential Loyalists
44,128,2,1331.411,5,3,2,10,Loyal Customers
45,81,1,505.5225,5,2,1,8,Potential Loyalists
46,1459,0,0.0,1,1,1,3,Lost Customers
47,909,1,165.16000000000003,2,2,1,5,At Risk
48,415,3,4677.3465,3,4,5,12,Champions
49,356,1,859.22,3,2,1,6,At Risk
50,137,1,458.05,5,2,1,8,Potential Loyalists
51,57,3,3658.777,6,4,4,14,Champions
52,118,4,2211.259,5,5,3,13,Champions
53,8,3,2520.053,6,4,3,13,Champions
54,72,6,5608.612,5,5,5,15,Champions
55,547,2,886.738,2,3,1,6,At Risk
56,102,4,2972.947,5,5,3,13,Champions
57,115,3,2271.3505,5,4,3,12,Champions
58,97,4,4880.031,5,5,5,15,Champions
59,28,1,545.259,6,2,1,9,Loyal Customers
60,131,1,3627.5,5,2,4,11,Loyal Customers
61,195,2,1171.911,4,3,2,9,Loyal Customers
62,1459,0,0.0,1,1,1,3,Lost Customers
63,48,2,2384.8085,6,3,3,12,Champions
64,65,3,2726.352,5,4,3,12,Champions
65,17,2,1408.854,6,3,2,11,Loyal Customers
66,243,3,5064.8065,4,4,5,13,Champions
67,637,2,2397.36,2,3,3,8,Potential Loyalists
68,969,1,1559.33,2,2,2,6,At Risk
69,98,2,2576.4905,5,3,3,11,Loyal Customers
70,31,5,2664.272,6,5,3,14,Champions
71,419,3,3296.544,3,4,4,11,Loyal Customers
72,1459,0,0.0,1,1,1,3,Lost Customers
73,45,6,15013.6465,6,5,5,16,Champions
74,883,1,3312.81,2,2,4,8,Potential Loyalists
75,1459,0,0.0,1,1,1,3,Lost Customers
76,351,1,335.52000000000004,3,2,1,6,At Risk
77,55,1,438.44,6,2,1,9,Loyal Customers
78,411,2,2374.5074999999997,3,3,3,9,Loyal Customers
79,60,3,3921.1485,6,4,4,14,Champions
80,275,2,3443.683,3,3,4,10,Loyal Customers
81,247,2,1348.896,4,3,2,9,Loyal Customers
82,81,3,2565.237,5,4,3,12,Champions
83,306,4,5326.5955,3,5,5,13,Champions
84,9,2,3900.069,6,3,4,13,Champions
85,183,1,2807.0915,4,2,3,9,Loyal Customers
86,372,2,1786.0475000000001,3,3,2,8,Potential Loyalists
87,1459,0,0.0,1,1,1,3,Lost Customers
88,331,4,2407.88,3,5,3,11,Loyal Customers
89,52,6,4099.0865,6,5,4,15,Champions
90,12,3,1950.4715,6,4,2,12,Champions
91,82,2,4644.121499999999,5,3,5,13,Champions
92,142,1,835.5799999999999,4,2,1,7,Potential Loyalists
93,120,4,3690.6465,5,5,4,14,Champions
94,86,6,9890.5425,5,5,5,15,Champions
95,146,5,5478.537,4,5,5,14,Champions
96,275,5,4741.057,3,5,5,13,Champions
97,728,4,5108.909,2,5,5,12,Champions
98,376,1,808.28,3,2,1,6,At Risk
99,769,1,726.578,2,2,1,5,At Risk
100,260,3,3880.641,4,4,4,12,Champions
101,56,4,3710.9120000000003,6,5,4,15,Champions
102,112,2,493.7015,5,3,1,9,Loyal Customers
103,32,1,216.829,6,2,1,9,Loyal Customers
104,132,2,1935.3899999999999,5,3,2,10,Loyal Customers
105,224,4,3462.121,4,5,4,13,Champions
106,1459,0,0.0,1,1,1,3,Lost Customers
107,254,1,-550.053,4,2,1,7,Potential Loyalists
108,185,4,1820.9885,4,5,2,11,Loyal Customers
109,125,2,2538.0265,5,3,3,11,Loyal Customers
110,360,2,2357.0085,3,3,3,9,Loyal Customers
111,130,1,3685.0645,5,2,4,11,Loyal Customers
112,519,3,5012.860500000001,2,4,5,11,Loyal Customers
113,466,2,985.188,3,3,1,7,Potential Loyalists
114,95,2,1264.28,5,3,2,10,Loyal Customers
115,223,2,3695.8869999999997,4,3,4,11,Loyal Customers
